date,Total Energy Consumed by the Residential Sector,year,month,t,Total Energy Consumed by the Residential Sector__lag1,Total Energy Consumed by the Residential Sector__lag12,Total Energy Consumed by the Residential Sector__rollmean3,Total Energy Consumed by the Residential Sector__rollstd3,Total Energy Consumed by the Residential Sector__rollmean12,Total Energy Consumed by the Residential Sector__rollstd12,Primary Energy Consumed by the Commercial Sector__lag1,Electricity Sales to Ultimate Customers in the Commercial Sector__lag1,End-Use Energy Consumed by the Commercial Sector__lag1,Commercial Sector Electrical System Energy Losses__lag1,Total Energy Consumed by the Commercial Sector__lag1,Primary Energy Consumed by the Industrial Sector__lag1,Electricity Sales to Ultimate Customers in the Industrial Sector__lag1,End-Use Energy Consumed by the Industrial Sector__lag1,Industrial Sector Electrical System Energy Losses__lag1,Total Energy Consumed by the Industrial Sector__lag1,Total Primary Energy Consumed by the Transportation Sector__lag1,Electricity Sales to Ultimate Customers in the Transportation Sector__lag1,End-Use Energy Consumed by the Transportation Sector__lag1,Electrical System Energy Losses Proportioned to the Transportation Sector__lag1,Total Energy Consumed by the Transportation Sector__lag1,Total Primary Energy Consumed by the End-Use Sectors__lag1
1974-01-01,1771.91,1974,1,12,1476.392,1891.117,1190.402,271.2929358074038,1187.6640833333333,346.3940923901715,508.53,117.629,626.159,245.651,871.81,2222.257,191.312,2413.569,399.528,2813.096,1534.434,0.87,1535.305,1.817,1537.122,5252.688
1974-02-01,1523.829,1974,2,13,1771.91,1654.718,1468.807,306.9657913986511,1177.7301666666665,325.4633944563669,631.873,120.804,752.677,238.042,990.719,1931.828,189.218,2121.046,372.852,2493.898,1438.094,0.838,1438.932,1.651,1440.584,5237.765
1974-03-01,1384.953,1974,3,14,1523.829,1449.521,1590.7103333333334,158.7058809317836,1166.82275,309.8430659761121,536.913,115.779,652.692,211.583,864.274,1866.914,186.975,2053.889,341.691,2395.58,1338.913,0.77,1339.683,1.407,1341.09,4805.625
1974-04-01,1151.224,1974,4,15,1384.953,1129.6,1560.2306666666666,196.02994915148426,1161.4420833333334,305.0104420559636,470.272,115.364,585.636,231.444,817.081,1917.247,190.438,2107.685,382.058,2489.743,1480.536,0.787,1481.322,1.578,1482.9,4780.195
1974-05-01,942.739,1974,5,16,1151.224,953.556,1353.3353333333332,188.30395412824862,1163.2440833333333,304.8690615960351,373.789,114.209,487.998,216.951,704.949,1784.148,191.463,1975.61,363.7,2339.311,1467.557,0.772,1468.329,1.467,1469.796,4349.389
1974-06-01,855.001,1974,6,17,942.739,861.449,1159.6386666666665,221.2270562348414,1162.3426666666667,305.56062346903923,265.331,117.768,383.099,253.854,636.952,1911.169,195.256,2106.425,420.883,2527.308,1557.263,0.785,1558.047,1.691,1559.739,4233.934
1974-07-01,926.934,1974,7,18,855.001,905.935,982.9879999999999,152.15782245090284,1161.8053333333335,306.1429668199703,213.921,127.622,341.543,261.967,603.51,1865.354,196.88,2062.233,404.132,2466.365,1525.901,0.778,1526.678,1.596,1528.275,3974.833
1974-08-01,905.313,1974,8,19,926.934,940.738,908.2246666666666,46.76556988141881,1163.55525,304.6035943661041,194.741,137.243,331.984,319.916,651.9,1980.919,196.201,2177.12,457.35,2634.469,1579.05,0.832,1579.882,1.94,1581.822,4073.132
1974-09-01,849.498,1974,9,20,905.313,894.129,895.7493333333333,36.90781641243318,1160.6031666666665,307.1206162144928,196.81,141.677,338.486,303.663,642.149,2049.722,203.496,2253.218,436.163,2689.381,1601.854,0.849,1602.704,1.82,1604.524,4145.593
1974-10-01,948.252,1974,10,21,849.498,936.695,893.915,39.95646789945947,1156.8839166666667,310.8881341229463,213.857,138.301,352.158,250.851,603.008,2073.063,204.356,2277.42,370.663,2648.082,1456.481,0.834,1457.314,1.512,1458.826,4084.563
1974-11-01,1101.091,1974,11,22,948.252,1158.119,901.0210000000001,49.51670502972237,1157.847,310.1610635252126,281.758,125.696,407.454,260.887,668.341,2219.813,205.116,2424.929,425.726,2850.655,1569.737,0.804,1570.541,1.669,1572.21,4556.114
1974-12-01,1571.205,1974,12,23,1101.091,1476.392,966.2803333333333,126.76168590837626,1153.0946666666666,310.59311180160796,353.427,121.79,475.218,259.404,734.621,2124.166,195.081,2319.247,415.508,2734.756,1507.22,0.829,1508.049,1.766,1509.815,4630.208
1975-01-01,1714.392,1975,1,24,1571.205,1771.91,1206.8493333333333,324.66325454897697,1160.99575,320.60948374934696,526.567,125.082,651.648,277.222,928.87,2015.052,182.314,2197.366,404.067,2601.433,1564.631,0.844,1565.475,1.87,1567.345,5123.134
1975-02-01,1579.826,1975,2,25,1714.392,1523.829,1462.2293333333334,320.84466817189553,1156.2025833333335,310.92974170891773,546.766,130.382,677.148,269.929,947.076,2077.53,193.155,2270.685,399.889,2670.574,1541.567,0.887,1542.454,1.835,1544.289,5311.299
1975-03-01,1491.703,1975,3,26,1579.826,1384.953,1621.8076666666666,80.2961673701406,1160.869,317.3035052171516,522.32,125.812,648.132,231.313,879.445,1643.004,188.899,1831.903,347.303,2179.206,1358.921,0.826,1359.746,1.518,1361.264,4615.02
1975-04-01,1313.991,1975,4,27,1491.703,1151.224,1595.307,112.14875701941739,1169.7648333333334,325.546327515297,467.958,125.211,593.169,250.521,843.69,1765.069,189.596,1954.664,379.34,2334.004,1516.69,0.84,1517.53,1.68,1519.21,4747.519
1975-05-01,966.271,1975,5,28,1313.991,942.739,1461.8400000000001,135.41015797568653,1183.32875,328.08455001891457,421.168,121.517,542.685,233.212,775.898,1464.567,187.596,1652.163,360.029,2012.192,1508.513,0.785,1509.297,1.506,1510.803,4259.954
1975-06-01,861.296,1975,6,29,966.271,855.001,1257.3216666666667,267.2606530361957,1185.28975,326.5826756456027,260.025,123.524,383.549,262.405,645.954,1545.49,190.51,1736.0,404.705,2140.706,1543.321,0.805,1544.126,1.71,1545.835,3874.907
1975-07-01,917.352,1975,7,30,861.296,926.934,1047.186,236.946446850339,1185.8143333333333,326.0084597007021,204.982,136.279,341.261,291.471,632.731,1610.661,193.752,1804.412,414.391,2218.804,1527.739,0.802,1528.541,1.715,1530.256,3711.675
1975-08-01,932.427,1975,8,31,917.352,905.313,914.973,52.52792007114481,1185.0158333333334,326.71116239461804,186.913,147.303,334.217,328.548,662.765,1721.35,192.642,1913.992,429.673,2343.665,1557.676,0.841,1558.517,1.875,1560.392,3784.508
1975-09-01,859.993,1975,9,32,932.427,849.498,903.6916666666666,37.48143967797824,1187.2753333333333,324.6884100225472,188.71,150.743,339.454,330.93,670.384,1773.548,200.67,1974.218,440.535,2414.752,1557.841,0.85,1558.691,1.867,1560.558,3823.898
1975-10-01,892.863,1975,10,33,859.993,948.252,903.2573333333333,38.21865788242596,1188.1499166666667,323.7085136183361,206.457,147.349,353.806,261.474,615.28,1817.387,203.271,2020.658,360.709,2381.367,1491.082,0.89,1491.973,1.58,1493.552,3856.905
1975-11-01,1017.314,1975,11,34,892.863,1101.091,895.0943333333335,36.26851562076844,1183.5341666666666,327.80910612395735,247.36,131.093,378.453,268.016,646.469,2013.965,204.348,2218.314,417.783,2636.097,1568.14,0.856,1568.995,1.749,1570.744,4273.01
1975-12-01,1552.391,1975,12,35,1017.314,1571.205,923.39,82.9843211516523,1176.55275,330.6047209375641,306.117,127.717,433.834,257.347,691.18,1910.75,202.258,2113.008,407.545,2520.553,1442.08,0.89,1442.969,1.793,1444.763,4241.234
1976-01-01,1943.925,1976,1,36,1552.391,1714.392,1154.1893333333335,350.4218006236681,1174.9849166666665,328.6015535686339,500.58,130.895,631.476,284.052,915.528,2035.303,199.666,2234.969,433.29,2668.259,1596.979,0.88,1597.858,1.909,1599.767,5138.893
1976-02-01,1626.369,1976,2,37,1943.925,1579.826,1504.5433333333333,465.15485134988506,1194.1126666666667,367.2610158569004,637.627,140.492,778.119,295.282,1073.401,1950.513,199.948,2150.461,420.247,2570.708,1530.972,0.92,1531.892,1.933,1533.824,5422.831
1976-03-01,1388.038,1976,3,38,1626.369,1491.703,1707.5616666666665,208.0117908420903,1197.9912499999998,371.92098778959274,547.42,134.901,682.32,245.659,927.98,1672.452,201.904,1874.356,367.676,2242.032,1418.877,0.847,1419.724,1.542,1421.265,4739.682
1976-04-01,1112.625,1976,4,39,1388.038,1313.991,1652.7773333333334,278.8828414304717,1189.3525,365.6293542797132,444.842,130.827,575.67,268.169,843.839,1723.455,210.088,1933.543,430.636,2364.179,1604.907,0.863,1605.77,1.769,1607.539,4669.091
1976-05-01,949.961,1976,5,40,1112.625,966.271,1375.677333333333,257.0949512229556,1172.572,364.00629405547375,338.629,126.527,465.156,244.658,709.814,1665.956,208.773,1874.729,403.691,2278.419,1582.55,0.779,1583.329,1.506,1584.835,4261.228
1976-06-01,894.095,1976,6,41,949.961,861.296,1150.2079999999999,221.44350498264998,1171.2128333333333,364.8760424562226,275.266,129.299,404.566,263.057,667.623,1784.408,212.892,1997.3,433.126,2430.426,1565.236,0.792,1566.028,1.61,1567.638,4147.458
1976-07-01,927.179,1976,7,42,894.095,917.352,985.5603333333333,113.53116147267465,1173.9460833333335,362.4582724629286,225.494,138.5,363.994,310.032,674.026,1756.445,217.811,1974.256,487.57,2461.827,1611.321,0.777,1612.097,1.739,1613.836,3996.94
1976-08-01,923.88,1976,8,43,927.179,932.427,923.745,28.09086606000786,1174.765,361.83640381280304,195.509,154.366,349.875,343.147,693.022,1868.001,216.617,2084.618,481.526,2566.144,1649.041,0.847,1649.888,1.883,1651.771,4045.587
1976-09-01,859.374,1976,9,44,923.88,859.993,915.0513333333333,18.223522720227532,1174.05275,362.3648216603425,199.456,155.807,355.263,333.4,688.663,1879.968,221.825,2101.793,474.669,2576.463,1606.829,0.843,1607.672,1.804,1609.476,3991.921
1976-10-01,956.327,1976,10,45,859.374,892.863,903.4776666666667,38.230497123823376,1174.0011666666667,362.4136337175153,208.278,152.945,361.223,283.115,644.338,1870.798,223.675,2094.473,414.043,2508.516,1579.969,0.886,1580.855,1.64,1582.494,3995.336
1976-11-01,1338.986,1976,11,46,956.327,1017.314,913.1936666666667,49.35199430959859,1179.2898333333335,358.37864626469474,267.198,138.219,405.417,286.85,692.267,2159.025,222.598,2381.623,461.963,2843.586,1599.466,0.817,1600.283,1.695,1601.978,4509.873
1976-12-01,1835.206,1976,12,47,1338.986,1552.391,1051.5623333333333,253.59267373552893,1206.0958333333333,357.1900118876973,433.992,134.089,568.081,293.559,861.64,2085.034,219.082,2304.116,479.631,2783.747,1598.778,0.839,1599.617,1.837,1601.454,4945.493
1977-01-01,2224.367,1977,1,48,1835.206,1943.925,1376.8396666666667,440.66058278490686,1229.66375,389.9447104759911,597.935,141.971,739.906,317.826,1057.732,2189.485,217.67,2407.155,487.289,2894.444,1718.789,0.851,1719.64,1.906,1721.546,5710.312
1977-02-01,1843.896,1977,2,49,2224.367,1626.369,1799.5196666666668,443.7679738110144,1253.0339166666665,441.6227406384237,700.21,149.26,849.47,340.561,1190.03,1998.771,213.508,2212.28,487.155,2699.434,1580.641,0.928,1581.569,2.118,1583.687,5767.7
