Model,Best_Params,MSE,RMSE,MAE,R2,MAPE,Train_MSE,Overfit_Ratio,CV_MSE,N_Trials,Time_Seconds,Errors,Features,Sector
SVR,"{'C': 1.492398234117802, 'epsilon': 0.003718782617066472, 'kernel': 'linear'}",15283.220616415585,123.62532352400775,91.30182604073624,0.8783271042346318,5.605332152121118,6889.476161566777,2.218342912872484,0.0596674991721438,43,61.0,"[ -50.94095011   -7.14692399  -24.27152016 -107.99806271 -184.88392485
  -10.23946129 -218.57600661 -294.85652389  -13.57122699  -67.49333356
   64.19096535   72.79851102   20.93086675  -33.82105345  -84.12167444
 -157.96722725  192.00334281 -299.78489096 -404.05124496   72.42665828
 -235.46433752  -34.52377364  -78.64056177   14.70410226  -91.2709436
  -69.82008718  -19.42936868   27.7143978    95.15084023  145.5871771
 -219.12073817  131.9580391    21.72210279  -77.02553297   -8.12032258
   15.31128721  -18.88409656  -20.38846685   23.95906271  205.74388911
  -88.86490289  -22.61072384  106.06855375   85.30289086 -211.92292938
   14.60259907  -85.81867294   56.65501578  -38.15244791   -8.88191047
  -20.05115977  156.51550642  -77.31034219 -315.61688517   -2.21320446
 -204.60956019   23.96287043   52.36956752   98.64470081  180.42473016
   29.69493215  -24.97821288   -9.33253358 -143.21467387  162.33362105
  -71.14242722  213.5327859   -74.55884118   47.27574728   64.61250067
  132.66234783   19.35023944   47.59535428    9.6580882   -22.72855821
   61.73494864 -150.72620559  231.91554926  -53.56730979  -17.47645097
   -5.16834398   31.00392464   52.79198033   79.27068131  -36.5461328
  -29.12791227  -31.82896136   67.6799336   156.95374203 -373.49827057
 -120.0187816    89.69040629 -150.94620931  -88.81453971  -81.26408055
  109.95204431    4.07146617  -63.37386927  -46.6147114    -6.80168086
 -180.627095    135.2746418  -324.18537616 -194.73860191  -95.13271697
  -49.62297369   29.0490072   -13.76396294  -52.9517236   -63.05144595
  -76.7680262  -141.55230298   30.00725796  186.25409795  -92.69399463
 -169.17172706  -49.6018018   -61.84875934   25.36729366   28.66639828
 -129.56089924   -8.21100104]",Baseline,Residential
ExtraTrees,"{'n_estimators': 157, 'max_depth': 10, 'min_samples_leaf': 3}",15498.242290494727,124.49193664850237,90.46828260311018,0.8766152719975557,5.595903891950494,1605.6803197341826,9.65213442552527,0.06918368333597132,50,22.9,"[ -29.2050339   -27.59964934  -22.38335553 -169.92871598 -299.38033854
   26.02281341 -269.79772452 -259.85639462  -48.23175133  -85.46608975
    9.78838776   38.9391123    24.14291164  -25.2176726   -51.88120145
 -153.1690767   124.72388179 -163.50632643 -383.19038121   39.55276566
 -125.73007623  -49.68915074  -89.49682968  -43.22565344 -147.34313724
 -119.21701144  -29.29808462   84.80891009   74.31781661  147.38800605
 -160.15875244   75.45580488  107.41279933  -25.88724344   -2.74822368
    1.37931847   20.91208901  -21.14779406   45.98281496  260.48344236
  -79.19065987   -4.22968301  -53.97847962   17.1526944  -113.85327471
  -17.87520678  -87.23233198  -22.51018275  -56.04570658   24.04623527
  -38.55460523   54.65256851 -118.27244603 -281.3914034  -138.45821741
 -158.64512406  -20.66879487   30.35212675  -33.48212767   73.49951041
  -27.03718726  -93.14060766  -58.16218654 -188.59985419  165.0226689
  -45.44065867  190.64479756 -114.91204795  -26.57711655  -41.34383965
   63.85611494  -39.50510367    1.05064134  -66.55166971  -91.2379284
   -0.51780159 -310.13966517  154.18844409 -118.96370839  -71.32294638
   -6.44151531  -13.69422978  -12.23390393   44.34236749  -69.28333633
  -51.11422895  -64.11883113   73.23071572   29.36307219 -429.07347049
 -203.74572325   66.53818815  -76.28268499  -96.20953474 -145.2819067
  -10.94282831  -32.73182044  -40.00304528  -50.11476039  -14.85353895
 -225.25968736  111.08566518 -351.84471263 -206.27391442  -91.13426902
  -58.10245883   -8.51851477  -35.01459671  -78.74053112  -80.43023911
  -83.22393559 -124.02436379  -21.09778141  288.4437173   -26.24380714
 -185.97207335  -58.15757101  -66.14949115   35.30456772   24.06427879
 -116.56913839  -55.50254908]",Baseline,Residential
Ridge,{'alpha': 9.047071957568372},15848.68371945849,125.89155539375344,94.00476558347145,0.873825334946436,5.822006227103112,6893.015314933703,2.2992381411256044,0.06308399689672738,50,0.2,"[-3.89968770e+01 -3.10032507e+01 -4.89539451e+01 -1.32595317e+02
 -2.09111194e+02 -1.28854015e+01 -2.69053282e+02 -3.04086634e+02
 -1.24013255e+01 -7.86568998e+01  1.22066274e+01  1.85630015e+01
  2.18193254e+01 -5.65429491e+01 -9.33199228e+01 -1.18520058e+02
  2.09164631e+02 -2.61189172e+02 -3.84436008e+02  9.22246387e+01
 -2.40821413e+02 -3.62116898e+01 -1.20450791e+02 -1.93055284e+01
 -1.20720697e+02 -9.34293908e+01 -1.08349884e+01  3.79311432e+01
  4.60488530e+01  2.20150584e+02 -1.81012769e+02  7.50019897e+01
  3.77583225e+01 -1.12545064e+02 -1.09222311e+01 -9.58147928e+00
 -4.87730390e+00 -4.37002474e+01  3.88123338e+00  1.89984584e+02
 -1.32979798e+02  7.94399592e+00  7.99749411e+01  4.48194709e+01
 -2.42832333e+02  2.93385280e+01 -9.77442362e+01  1.99128277e+01
 -5.72410731e+01 -2.80031675e+01 -5.96863278e+01  1.21993330e+02
 -1.17516218e+02 -2.80118616e+02 -7.63207380e+01 -2.31620575e+02
  6.21341862e+00 -4.48344253e+01 -1.65973395e+01  6.73069372e+01
 -3.42761823e+01 -8.72177712e+01 -3.26520993e+01 -1.59028970e+02
  1.24218619e+02 -5.33400259e+01  1.78940693e+02 -1.31044761e+02
 -1.90389348e+01  7.11778809e+01  9.95253925e+01 -2.52101027e+01
  5.18219417e+01 -1.57862612e+01 -5.90692208e+01  7.87964545e+01
 -2.07019682e+02  2.52320249e+02 -9.44752185e+01 -3.08489056e+01
 -2.54403628e+01  1.31902428e+01 -2.10475544e+00  3.30502836e+01
 -4.61798898e+01 -5.16650270e+01 -3.66268709e+01  6.57945570e+01
  1.41148281e+02 -3.48545133e+02 -1.66165378e+02  6.72661728e+01
 -1.70294986e+02 -1.03728578e+02 -9.19344138e+01  6.40237542e+01
 -2.53959287e+01 -7.82312611e+01 -6.01598627e+01 -3.80960505e-01
 -2.31886058e+02  1.91296490e+02 -3.18770901e+02 -2.07268673e+02
 -7.42347385e+01 -4.43355323e+01 -8.41124393e+00 -7.91140358e+01
 -5.79279281e+01 -9.63971420e+01 -8.17053814e+01 -1.22438619e+02
  3.43187303e+01  1.98154664e+02 -4.65745605e+01 -1.91754014e+02
 -6.53784878e+01 -6.07344978e+01 -8.60362315e+00 -4.67676195e+00
 -1.22239171e+02 -4.13250224e+01]",Baseline,Residential
ElasticNet,"{'alpha': 0.005248979707169245, 'l1_ratio': 0.7160527898982153}",16073.955256821677,126.78310319921057,94.24800235085985,0.8720319014174418,5.810674889153125,7107.238126577318,2.2616317295903694,0.059465363943135396,50,2.4,"[ -21.44998895  -40.13605608  -52.29827935 -152.30445148 -218.33387581
  -25.27625728 -284.89100436 -285.49357254   -2.74274308  -69.67724754
   31.99307227   50.92305149   25.16415109  -63.01948813  -88.64759827
 -129.19632365  211.06580628 -257.6791376  -388.83626377  103.98895025
 -236.82600495   -4.19117199  -80.27235202   -6.79881825 -115.40817125
  -80.66888872   -8.43231068   51.18475887   44.97912855  240.83344616
 -156.43224703   76.57741797   32.11996654 -103.18037885   10.40743798
    2.92298761   -6.04540801  -29.09543941   14.70734668  189.57128653
 -130.67398229   -3.490721     88.6600131    53.7603936  -236.15184463
   40.48460008  -93.92660541   42.56831638  -34.78511595  -17.28486701
  -55.4688959   117.10389744 -109.85580165 -277.56724314  -92.44226574
 -225.84379469   34.71159764    1.78843772   27.34741184   90.32233165
   -9.8325568   -82.37748578  -21.61839667 -173.55334523  138.53883503
   -7.38364075  189.85183391 -119.63256985  -71.74359634   16.04255679
   90.92541077  -33.27289441   44.48049044  -39.25903158  -76.53339292
   49.53389882 -240.07784067  241.97420112 -113.07091038  -14.38341184
  -40.20792493   -3.14084071   -5.77046895   57.83758577  -51.48893298
  -67.7834742   -42.82278428   54.97494561  145.86425853 -357.1141499
 -195.65811368   70.06956835 -168.6364335   -81.9551531   -83.47645622
   53.46709702  -16.8444186   -65.53770039  -60.2144811   -18.53926855
 -237.23431476  212.06490231 -311.83270226 -201.45791942  -84.64463663
  -29.0765703    21.97986492  -49.00928592  -62.0781711  -100.70471857
  -74.5977094  -130.26734741   43.23672993  202.840844    -16.17879178
 -171.27820366  -86.8630411   -69.7502403    11.90627916   34.20382234
 -117.03111222  -46.5182987 ]",Baseline,Residential
Lasso,{'alpha': 0.004164335189976762},16076.408416962142,126.792777463711,94.19089287084552,0.872012371299703,5.798333420698707,7152.185736920678,2.2477615946092198,0.05920564897759774,50,1.7,"[-1.81693297e+01 -3.93942147e+01 -5.22547629e+01 -1.56615778e+02
 -2.18500580e+02 -2.78806935e+01 -2.87984254e+02 -2.83646236e+02
  1.34933904e+00 -6.83257163e+01  3.19524097e+01  5.52186059e+01
  2.61134913e+01 -6.37844910e+01 -8.92953758e+01 -1.31363422e+02
  2.13279118e+02 -2.56244316e+02 -3.86431630e+02  1.10913684e+02
 -2.35155616e+02 -2.17222266e+00 -7.53082371e+01 -5.31486263e+00
 -1.15695530e+02 -7.97138449e+01 -7.83742678e+00  5.27340514e+01
  4.46952511e+01  2.45346398e+02 -1.49917329e+02  7.93527402e+01
  3.53904770e+01 -1.02541799e+02  1.44997316e+01  6.75653841e+00
 -4.51760908e+00 -2.65137287e+01  1.67275748e+01  1.89615127e+02
 -1.30865524e+02 -5.11023596e+00  9.31875379e+01  5.55460955e+01
 -2.34037214e+02  4.48321101e+01 -9.07786781e+01  4.53404854e+01
 -3.00690915e+01 -1.42349540e+01 -5.44785543e+01  1.15068874e+02
 -1.08047314e+02 -2.77392751e+02 -9.15724285e+01 -2.24696978e+02
  3.89150125e+01  7.74489779e+00  3.20822427e+01  9.30955209e+01
 -7.13168186e+00 -8.22606530e+01 -2.00128997e+01 -1.76716011e+02
  1.40281479e+02 -3.66749623e-01  1.93188208e+02 -1.16662873e+02
 -7.94937788e+01  1.10271951e+01  8.83165498e+01 -3.41923896e+01
  4.49283548e+01 -3.93329631e+01 -7.89887756e+01  4.69144582e+01
 -2.42964407e+02  2.42485075e+02 -1.15101495e+02 -1.03329962e+01
 -3.76671269e+01 -2.45408607e+00 -6.27253990e+00  6.17882622e+01
 -4.98914441e+01 -6.66709926e+01 -4.14279998e+01  5.50133158e+01
  1.50178371e+02 -3.57303362e+02 -1.96331867e+02  7.43916620e+01
 -1.67808667e+02 -7.81259597e+01 -7.94306067e+01  5.35893958e+01
 -1.50567245e+01 -6.23891359e+01 -5.85055406e+01 -2.00990476e+01
 -2.38444907e+02  2.16843166e+02 -3.06705218e+02 -1.98429134e+02
 -8.02919913e+01 -2.55966480e+01  2.66330330e+01 -4.43428032e+01
 -6.00782442e+01 -9.93203234e+01 -7.28381609e+01 -1.30229770e+02
  4.74095842e+01  2.05255418e+02 -8.10177057e+00 -1.64910166e+02
 -8.43023758e+01 -6.86047445e+01  1.37239213e+01  4.17377781e+01
 -1.12612808e+02 -4.41618203e+01]",Baseline,Residential
OMP,{'n_nonzero_coefs': 14},17117.10943819592,130.83237152247878,97.47837500649143,0.8637271341721644,5.994626938093358,7689.878455056731,2.2259271766434754,0.06160308279391038,50,0.3,"[ 9.60106335e+00 -4.42344126e+01 -3.19841590e+01 -1.93985941e+02
 -1.78682352e+02 -5.25990224e+01 -3.13077427e+02 -2.89365079e+02
  1.26453231e+01 -4.13214963e+01 -1.03216808e+01  4.08784774e+01
  4.09838529e+01 -7.62909382e+01 -7.93916624e+01 -1.64268955e+02
  2.54190580e+02 -2.79477520e+02 -3.90847730e+02  1.32139331e+02
 -2.32779676e+02  3.20771612e+01 -1.22905486e+02 -2.63249594e+01
 -1.00236754e+02 -9.30468242e+01  5.14869228e+00  2.29481015e+01
  6.90766337e+01  2.43139426e+02 -1.38998246e+02  9.81428656e+01
  5.05414535e+01 -7.20816281e+01 -1.99895201e+01 -1.35622581e+01
  1.59240314e+01 -3.79506421e+01  3.12591222e+01  1.59690213e+02
 -1.16024439e+02 -2.29033631e+01  1.02652203e+02  5.54927173e+01
 -2.28677326e+02  8.33389166e+01 -1.32704384e+02  2.59960746e+01
 -1.21832454e+01 -3.09415341e+01 -4.80716601e+01  6.50731274e+01
 -8.55543529e+01 -2.94626027e+02 -9.60208082e+01 -2.30828469e+02
  8.12183909e+01  8.77661998e+01  2.63906354e+01  9.37432682e+01
  2.42150232e+01 -8.45782792e+01  1.47528225e+00 -2.11521914e+02
  1.88040104e+02  1.25226677e+01  1.99566437e+02 -1.10172009e+02
 -1.04840936e+02  1.77158153e+01  3.33074983e+01 -6.67043093e+01
  5.24543277e+01 -5.86500165e+01 -8.22008268e+01  4.93672266e-01
 -2.40628575e+02  2.25820345e+02 -1.35039588e+02 -1.42043918e-01
 -3.22222246e+01  2.52564632e+01 -5.54270810e+01  4.41108885e+01
 -2.87457190e+01 -7.78738857e+01 -2.73203150e+01  2.35055052e+01
  1.83943410e+02 -3.76696132e+02 -2.15922528e+02  7.96324587e+01
 -1.69471554e+02 -5.19361032e+01 -1.26596114e+02  2.43411653e+01
 -6.88741405e-01 -7.80444818e+01 -4.95282469e+01 -6.37348946e+01
 -2.21257096e+02  2.11079908e+02 -3.10918109e+02 -1.93816485e+02
 -6.80865339e+01  6.73581662e+00 -1.80434537e+01 -7.02940718e+01
 -4.92200218e+01 -1.11179148e+02 -5.44832786e+01 -1.68845857e+02
  8.77077940e+01  1.89847384e+02  1.60566888e+01 -1.35217262e+02
 -5.76306809e+01 -2.25646065e+01 -1.37765207e+01  3.99609976e+01
 -8.13227688e+01 -3.69118421e+01]",Baseline,Residential
RandomForest,"{'n_estimators': 114, 'max_depth': 13, 'min_samples_leaf': 3, 'min_samples_split': 4}",19758.5030326818,140.56494240272644,99.69916863155426,0.8426984507837957,6.086354802559646,2656.375744401702,7.438143144591929,0.0884088936454442,50,24.5,"[ -13.08767371  -39.16453151  -24.05378861 -178.36095222 -325.07990035
    9.44424858 -343.93904358 -415.46805108  -57.01174099  -80.6350888
   23.96384976   23.34168408    9.77509577  -51.35305516  -57.70414846
 -172.25239573  341.83108676 -248.20526716 -477.64404761  101.04463082
 -131.05362194  -23.15178362 -104.20744913  -25.97348298 -143.31339169
 -112.32734551  -25.9124455   109.05447124   -5.56116196  148.53857386
   -5.57785586  151.07924557  141.58822147  -11.92763852   -5.91934992
  -20.314065      2.29181846  -42.44252844   40.67916268  251.92861838
 -158.04335161   47.83623451  130.29957593   89.93855542  -86.29222849
    5.55379632  -84.95138403  -15.45868416  -18.69869843   26.2349921
  -36.74263709   56.99050144 -173.95345573 -234.71161456 -179.87402496
 -354.64257582  -38.7375404     4.20500095  -52.77163517   61.69759392
  -51.34856312 -111.37548661  -54.16028963 -198.95376315  134.34375683
  -12.97047021  210.58042224  -85.50793496  -50.71424766  -39.88760288
   98.49163404  -61.79639789  -10.82356665  -74.9839715   -90.2960708
  -21.54525961 -373.76284267  139.71113132 -157.33274177  -87.15486462
   -2.95369633   -9.15037836  -25.55998038   32.90125624  -77.20426597
  -35.60933792  -34.01009496   94.74585464  161.88438936 -395.78486032
 -282.74148368   87.52218296  -67.45753471  -84.53459058 -145.81906734
   -4.98624035  -58.9626431   -16.18410209  -50.12416945   -4.6399174
 -281.87612251  104.84840054 -210.85572658 -162.05953751  -87.19313616
    4.8426039   -33.35588157  -87.28528133  -93.74497335  -54.37159574
  -75.41590867 -143.8180469     2.03413658  166.02215703  161.6755832
 -120.90016077  -49.00245984  -36.06925424   40.83481971    1.33034702
 -117.57010527  -35.83867679]",Baseline,Residential
GradientBoosting,"{'n_estimators': 244, 'max_depth': 4, 'learning_rate': 0.03464535502603449, 'subsample': 0.8290544985555174, 'min_samples_leaf': 3}",20700.54446499706,143.87683783360356,99.86091555802474,0.8351986631488755,6.046903902525137,804.4626542371903,25.732138534915315,0.07462776622498725,50,54.1,"[ -35.67613113  -18.6859976   -11.97872118 -162.94895348 -325.35672011
  -40.12847297 -376.25329403 -314.19309312  -19.27499771  -77.06394927
   37.59818621   -9.47388846   -2.24967875  -42.81445346  -45.75958793
 -175.58406614  407.26960536 -317.95065063 -397.45053335  160.35001596
 -106.44689134  -18.56246363 -101.66040595   -3.84019615 -180.64765721
 -109.12104275  -25.55992553   78.99752972  -93.18050012   93.24019939
 -123.0442557    22.64160464  134.36745308  -16.09428828  -10.43191661
  -39.93063953   10.60203949  -16.83755302   54.37580071  194.04227375
 -265.7170132     3.90410257  110.04506795  -10.85964257 -105.2632946
   22.316109    -98.5889772   -15.26923639  -63.5152744    41.26432657
  -14.17566797   25.82684731 -191.38053162 -266.14601515  -86.88411109
 -292.1355917    19.03688219   28.19463226  -13.46997295   33.38260132
  -67.95093598  -85.65451854  -38.5339411  -173.86214851  112.47805631
  -20.18202997  249.66017858 -155.11921358  -39.76217736  -38.20339681
   83.50940898  -89.79074846    5.34226646  -57.53965951  -78.43915374
  -26.17932476 -453.15381312   99.08019816 -200.37359986 -144.7902886
   16.16402432  -17.96512066  -21.5456401    48.77442018  -95.73836227
  -24.07535588  -35.49098698   98.25406386  182.95780321 -460.69047062
 -150.5228307   114.45284397  -51.80125271  -83.0893954  -132.5539755
   -7.37311342  -50.87285642  -36.6921706   -48.97475911   -4.96435426
 -307.41044825   29.45843416 -303.42298444 -217.96607182  -41.31033731
   15.36374361  -32.0451863  -122.91673138 -102.36558136  -51.53290003
  -70.71970642 -140.78095375  -49.65220869  116.24677675   11.39777771
 -237.92970241  -28.71230508  -44.10551658   32.81300645  -40.62859015
 -134.10095705  -30.53138832]",Baseline,Residential
KNN,"{'n_neighbors': 2, 'weights': 'uniform', 'p': 1}",22136.73374352459,148.78418512572023,107.90869672131146,0.8237648618074274,6.6616980105843275,3743.655351360371,5.91313346606026,0.10495828390824144,50,3.2,"[  26.374   -16.1795  -11.25   -218.09   -394.934    84.5185 -189.6675
 -189.6695  -25.5805 -100.983    15.1585    8.36     56.5065   -4.424
  -46.6695 -230.5145  238.064  -397.445  -321.2925  -35.883  -115.242
  -92.01    -62.2645  -78.19   -103.5495  -83.9785  -33.7425  -78.2545
 -162.054    90.1315 -389.1945 -119.269    32.707   -14.5455  -12.16
   14.9635   19.5265  -24.762    27.167   233.123   -71.1985 -109.026
 -116.0775  -37.7555 -196.7595  -37.5665 -140.8045  -21.7985  -46.171
  -27.751   -27.7125   61.2525 -145.5235 -364.7225  -37.8825 -117.1965
   47.3395   62.092   -13.789   -32.5215  -45.7365  -82.886   -23.0915
 -167.3915  245.282  -152.5495   38.2575 -238.8695  -87.7095   42.1675
   22.81    -35.022    42.4275  -73.434   -85.324   -99.3405 -279.5835
  144.9825  -94.604  -269.392    -8.985    -9.278     7.8685   37.252
  -29.292   -97.343   -67.8765  -42.8395   56.2695 -518.6185 -110.7185
   55.9275 -175.5555 -130.6715 -124.2475  -72.774   -17.1995  -92.2045
  -68.5885  -86.2945 -272.6625   62.289  -400.1705 -343.711   -65.8915
  -99.834    -3.9005  -77.369   -57.7215  -99.8295  -98.4195 -215.1975
 -160.2615   67.7545 -200.2545 -301.8115  -85.949   -71.088   -21.2215
   52.6425 -103.793  -109.0845]",Baseline,Residential
OMP,{'n_nonzero_coefs': 33},3724.378386927538,61.027685413487035,47.940253893871564,0.8131932101301624,3.509112792965728,1372.4902664314425,2.7135918396063725,0.031052218260531894,50,0.4,"[ -23.04793289   -6.65443655  -16.75445849  -52.96447202 -104.84100722
   15.04774553  -95.95672027 -134.94290632  -38.0330402   -17.02761493
   12.40200093   14.62954368   22.54725512  -33.49152282  -32.23976363
  -45.3616511   111.78891757  -91.27991732 -176.55697909   45.5607577
 -113.45767142  -37.98577787  -44.94233032  -18.09610142  -63.57609993
  -39.01541925   -3.7944521    23.57961659   62.56276269   58.13868087
  -91.13430198   42.19336558    8.81411956  -17.25474493  -32.05127758
   11.24578039  -12.23596691  -37.62012472   14.83362077   58.75562309
  -63.80805965   15.89219715  -23.29325558    7.32442523 -108.23656733
  -19.54781923  -80.72996143    5.08721149  -33.6951319   -42.73697945
  -53.43315405   49.88653471  -42.18820819 -105.90200727  -37.8247155
 -126.42052247 -164.57188809  -97.77174962   -3.18945065   30.29357485
  -55.80907264  -64.81492428  -14.74370464  -91.87995763   38.4598925
  -25.93324256   75.88385116  -34.58730967   28.08939174   32.812845
   75.82697728    4.62340675   21.08383336  -41.06802103  -13.09708871
   30.69870781  -84.75093237  117.45692585  -50.61652181   -6.16677089
  -36.52486493   23.55900404  -14.41997913   38.37922757  -15.49864034
  -20.46360343  -29.54217699   34.38263048   83.69901752 -143.33387925
  -90.82205865   59.63137605 -103.52549231  -43.4833613   -33.42140216
   25.01648891  -10.09551845  -52.65466056   -5.51700121   -5.27692934
  -92.36817928   83.72000027 -103.12935882 -107.48859869  -47.44720709
   -8.47479417  -19.81678595   -9.12974334  -29.007666    -50.62476518
  -36.29946948  -35.77251475   23.33363777  126.9317844   -33.37583384
 -104.89970311  -35.06428927  -14.8595964     1.16014275   28.73794161
  -61.3722607   -23.7961167 ]",Baseline,Commercial
