Sector,Model,MSE,RMSE,MAE,R2,Best_Params,Overfit_Ratio
Commercial,Ridge,3761.077717498616,61.327626054646984,47.69481027417458,0.8113524508350226,{'alpha': 0.1},2.7305526642116638
Commercial,Lasso,4125.564232919042,64.23055529044602,49.61966723078329,0.7930705930797737,{'alpha': 0.001},2.8713321703731673
Commercial,ElasticNet,3891.7649614406428,62.38401206591832,48.26246860831961,0.8047974604496643,"{'alpha': 0.001, 'l1_ratio': 0.2}",2.7932228284510137
Commercial,OMP,5082.443869294587,71.2912608199251,56.65356071326532,0.7450755736181244,{'n_nonzero_coefs': 20},3.391700114025936
Commercial,RandomForest,5131.241683513434,71.63268585997201,54.038212019900094,0.7426279804683833,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 20}",3.99599445545643
Commercial,GradientBoosting,5344.10040098829,73.1033542389697,55.95461064106474,0.7319514461380218,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",10.374506340875561
Commercial,KNN,6015.622762897218,77.56044586577116,62.539628719828634,0.6982693323135172,"{'n_neighbors': 3, 'weights': 'distance'}",312564979018401.25
Residential,Ridge,15965.2997982002,126.35386736542812,94.67610849047112,0.8728969301062895,{'alpha': 10.0},2.30639573237753
Residential,Lasso,16722.44189334643,129.31528097385254,95.85662993051582,0.8668691645237296,{'alpha': 0.01},2.1303066098211154
Residential,ElasticNet,16170.708668551186,127.16410133583764,94.16656211701726,0.8712616273976017,"{'alpha': 0.01, 'l1_ratio': 0.5}",2.20963914123023
Residential,OMP,16668.867838769853,129.10796969501865,98.20944521117273,0.8672956787069523,{'n_nonzero_coefs': 15},2.339350809236548
Residential,RandomForest,20463.618938178122,143.05110603619295,102.10129253779397,0.8370848765100718,"{'max_depth': 7, 'min_samples_leaf': 5, 'n_estimators': 20}",4.840654587834906
Residential,GradientBoosting,19370.629152295278,139.1784076367282,98.74147397836838,0.8457863953605879,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",6.294481817795786
Residential,KNN,20698.420672951906,143.86945705378855,105.8149002550959,0.8352155710987521,"{'n_neighbors': 3, 'weights': 'distance'}",335426418497314.1
Industrial,Ridge,5183.6403106078615,71.99750211366963,49.92774111139007,0.5951573746938134,{'alpha': 10.0},1.1977955415624189
Industrial,Lasso,6398.196107973501,79.98872488028235,57.63649109875034,0.5003004926335118,{'alpha': 0.1},0.925092759162768
Industrial,ElasticNet,5896.695633932848,76.78994487517782,54.47164014506716,0.5394677103294301,"{'alpha': 0.1, 'l1_ratio': 0.5}",0.9928349415005795
Industrial,OMP,6011.731652797455,77.53535743644609,54.86559089462041,0.5304833902201402,{'n_nonzero_coefs': 5},1.0786342782199319
Industrial,RandomForest,6053.46532855796,77.80401871727423,56.721334563176455,0.5272239875906822,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 50}",1.7501829650191278
Industrial,GradientBoosting,5709.277325413983,75.55975996133115,54.35571463070452,0.5541050916878455,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",2.8640471052062186
Industrial,KNN,4533.235654732126,67.32930754680406,50.830356523068446,0.6459540180984986,"{'n_neighbors': 5, 'weights': 'distance'}",65116835269234.85
Transportation,Ridge,9418.096929715635,97.04688006172911,54.47653860754895,0.6161214709099565,{'alpha': 1.0},7.850046769021176
Transportation,Lasso,8928.434584519948,94.49039413887502,51.49709214339844,0.6360799468342617,{'alpha': 0.001},7.051437948051882
Transportation,ElasticNet,8994.85337355531,94.8412008230353,51.91376117313135,0.6333727388676087,"{'alpha': 0.001, 'l1_ratio': 0.8}",7.201687120555749
Transportation,OMP,9850.468479020119,99.24952634154039,59.751988150019734,0.5984981489579707,{'n_nonzero_coefs': 25},7.96470326723816
Transportation,RandomForest,18671.937468724853,136.64529801176786,84.32662902664961,0.23893797820874796,"{'max_depth': 5, 'min_samples_leaf': 5, 'n_estimators': 50}",13.0472136928095
Transportation,GradientBoosting,16401.979116566003,128.07021166753026,76.03003955736827,0.33146073305246015,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",131.12269673637942
Transportation,KNN,12837.888524785509,113.30440646676328,72.90656138562234,0.4767318917723852,"{'n_neighbors': 3, 'weights': 'distance'}",780870285556676.1
