Sector,Model,MSE,RMSE,MAE,R2,Best_Params,Overfit_Ratio
Residential,KNN,4537.705975359349,67.36249680170228,46.68385788382564,0.9588920896006667,"{'n_neighbors': 5, 'weights': 'distance'}",245428025694995.6
Residential,Ensemble_Stacking,5220.414677695099,72.25243717477701,51.82378213599897,0.9527073062945512,Linear:Lasso + Tree:KNN,3.3394976029826227
Residential,RandomForest,5460.850692111836,73.89756891882057,50.551584992334575,0.9505291523570579,"{'max_depth': 7, 'min_samples_leaf': 5, 'n_estimators': 50}",3.5881497672570335
Residential,LightGBM,6171.961615597323,78.56183307177425,55.276876675733895,0.9440870681221238,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",4.95747502556711
Residential,LightGBM_Optuna,6189.57969954425,78.67388194022365,54.88789962160511,0.9439274626694499,"{'n_estimators': 158, 'max_depth': 6, 'learning_rate': 0.05657123099549863, 'subsample': 0.9255699976166024, 'colsample_bytree': 0.6749442619733252}",9.356223740073972
Residential,Lasso,6800.353145053592,82.46425374096096,57.77082580958302,0.9383943540439397,{'alpha': 0.001},1.7500256369994485
Residential,ElasticNet,6859.283602301071,82.82079208931216,60.70510332448426,0.9378604922270931,"{'alpha': 0.01, 'l1_ratio': 0.5}",1.6455295049003855
Residential,GradientBoosting,7158.410754868525,84.60739184532594,57.80331205864998,0.9351506445083289,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",5.132076603910058
Residential,Ridge,7182.580347425206,84.75010529447857,60.81409762752172,0.9349316877379688,{'alpha': 10.0},1.7039445309651196
Residential,XGBoost_Optuna,7337.8653535992835,85.6613410681813,58.690056859919466,0.9335249323962107,"{'n_estimators': 111, 'max_depth': 3, 'learning_rate': 0.0816742489537336, 'subsample': 0.7177688821747419, 'colsample_bytree': 0.9259056509327742}",7.334502473139601
Residential,OMP,8392.857317061216,91.61253908205587,61.70984742332592,0.9239675667710447,{'n_nonzero_coefs': 10},1.6111314634839775
Residential,XGBoost,8399.343904971513,91.64793453739976,61.28344583967092,0.9239088035818779,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",9.422484798367053
Residential,LSTM_PyTorch,23634.210388027717,153.7342199642868,78.57944701932384,0.7858933548657049,"{'dropout': 0.2, 'hidden_size': 64, 'num_layers': 1}",1.8674772046899342
Commercial,Ensemble_Stacking,1491.975960462028,38.62610465037897,29.992359378974733,0.9392375605201039,Linear:Lasso + Tree:XGBoost,3.0797747871964987
Commercial,Lasso,1849.316160450375,43.003676127168184,33.10010453403817,0.9246844692834314,{'alpha': 0.01},2.5475702988751308
Commercial,ElasticNet,1961.7806711330431,44.291993307290234,33.482318437877126,0.9201042225468316,"{'alpha': 0.01, 'l1_ratio': 0.5}",2.879669916667251
Commercial,XGBoost,2129.506355844763,46.146574692438044,33.23830838741877,0.9132734008468867,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",6.496680887173016
Commercial,GradientBoosting,2228.1803346546612,47.203605102308245,33.97841334902509,0.9092547894050372,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",12.350348382885205
Commercial,KNN,2256.530754979538,47.502955223644115,35.69096963784844,0.9081001858826813,"{'n_neighbors': 10, 'weights': 'distance'}",169090058417303.6
Commercial,RandomForest,2354.1282935114264,48.519359986622106,34.34353894256191,0.904125413711021,"{'max_depth': 7, 'min_samples_leaf': 5, 'n_estimators': 20}",7.614814627981111
Commercial,XGBoost_Optuna,2354.1757516594403,48.51984904819305,34.40383483670665,0.9041234809232798,"{'n_estimators': 151, 'max_depth': 3, 'learning_rate': 0.03576332896380474, 'subsample': 0.6700235428382543, 'colsample_bytree': 0.6865495809311079}",7.556719333151257
Commercial,OMP,2386.3618006973766,48.85040225727293,35.101194704184934,0.9028126670036245,{'n_nonzero_coefs': 15},3.393897058576451
Commercial,LightGBM_Optuna,2386.780022178231,48.85468270471348,35.35701646085177,0.9027956344521002,"{'n_estimators': 224, 'max_depth': 5, 'learning_rate': 0.12891268171119813, 'subsample': 0.6660572157604139, 'colsample_bytree': 0.8359981668085248}",104.32517114917852
Commercial,LightGBM,2398.288387828502,48.97232267136716,35.506951759355076,0.9023269430054093,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",19.034896852859287
Commercial,Ridge,2407.1320901888266,49.06253244777349,34.47066912397551,0.901966773040418,{'alpha': 10.0},3.4649266705296817
Commercial,LSTM_PyTorch,7384.077921623528,85.93065763523242,53.362905221584626,0.6992749215017223,"{'dropout': 0.2, 'hidden_size': 64, 'num_layers': 1}",2.7527662323096167
Industrial,XGBoost,3833.9420373152716,61.918834269673326,44.43266645637444,0.5653927601346067,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",2.4672727696737766
Industrial,RandomForest,3877.373296698155,62.26855784983425,44.24225781099293,0.5604694880609656,"{'max_depth': 7, 'min_samples_leaf': 5, 'n_estimators': 20}",1.8948384358869201
Industrial,Ridge,3986.569877782672,63.139289493806245,43.7178542195532,0.5480912037139463,{'alpha': 100.0},1.0332327099876122
Industrial,Ensemble_Stacking,4029.7694875008106,63.48046540078933,44.247426996780874,0.5431941909369848,Linear:Ridge + Tree:XGBoost,1.2559433730643348
Industrial,LightGBM,4053.084022978569,63.66383606867064,47.325784138676816,0.5405513064556566,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 50}",1.3296774966354687
Industrial,GradientBoosting,4080.7225039533782,63.880533059402204,46.17717767242985,0.5374182690196119,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",5.08910080274312
Industrial,LightGBM_Optuna,4149.147135068428,64.41387377784717,47.28089549411604,0.529661803278011,"{'n_estimators': 96, 'max_depth': 3, 'learning_rate': 0.03612156115011738, 'subsample': 0.6742300878614149, 'colsample_bytree': 0.8231322131039792}",1.627268370200773
Industrial,OMP,4248.185410944441,65.17810530342564,46.14631923669335,0.5184350420749015,{'n_nonzero_coefs': 5},0.979569735716062
Industrial,KNN,4388.9940606645205,66.24948347469979,49.58177778533657,0.5024732831311306,"{'n_neighbors': 7, 'weights': 'distance'}",52673908428409.445
Industrial,ElasticNet,4619.996406258979,67.9705554358575,49.50665346697212,0.4762873651271272,"{'alpha': 0.1, 'l1_ratio': 0.8}",0.9522539944193893
Industrial,Lasso,4736.312744882535,68.82087433971277,50.658690794779666,0.46310200071931484,{'alpha': 0.1},0.9280272715352316
Industrial,XGBoost_Optuna,5317.159281361273,72.91885408700053,53.346616357853975,0.3972585144205054,"{'n_estimators': 235, 'max_depth': 3, 'learning_rate': 0.24597579079129786, 'subsample': 0.6237548322386817, 'colsample_bytree': 0.8425821401997545}",243.71414700833895
Industrial,LSTM_PyTorch,6170.9806368567415,78.55558946922072,61.83381053823285,0.3004712028131913,"{'dropout': 0.2, 'hidden_size': 64, 'num_layers': 1}",1.417282425070257
Transportation,Ensemble_Stacking,8988.750930383932,94.80902346498424,50.05308959818939,0.6375334150013473,Linear:ElasticNet + Tree:KNN,7.782273904169483
Transportation,ElasticNet,9422.949230167203,97.07187661813902,52.79239955828736,0.6200246002445966,"{'alpha': 0.01, 'l1_ratio': 0.2}",6.735507045191169
Transportation,OMP,10084.920379895184,100.42370427292146,56.313604387418465,0.5933309668501641,{'n_nonzero_coefs': 20},7.417124976620672
Transportation,Lasso,10584.22309796078,102.87965346928799,59.932754648977294,0.5731968511649661,{'alpha': 0.001},8.009684440386836
Transportation,Ridge,11395.809052078886,106.7511548044277,66.36134606515975,0.5404700806158238,{'alpha': 1.0},8.927830375985348
Transportation,KNN,11720.069158327251,108.25926823291968,59.392278811243806,0.5273944648519188,"{'n_neighbors': 3, 'weights': 'distance'}",356772475349349.5
Transportation,LightGBM_Optuna,13983.986381830653,118.25390641256065,72.02339641103656,0.43610321080803116,"{'n_estimators': 252, 'max_depth': 3, 'learning_rate': 0.19702648553752314, 'subsample': 0.9119870786159954, 'colsample_bytree': 0.6420408191553663}",99.27133457970281
