Fold,Train_Size,Val_Size,MSE,R2,Sector,Model
1,106,103,0.024268717786329556,0.9720399934098619,Commercial,OMP
2,209,103,0.019284092888647592,0.971610493823865,Commercial,OMP
3,312,103,0.02064494358621632,0.9369163491628706,Commercial,OMP
4,415,103,0.0020349314674392442,0.991770953548552,Commercial,OMP
5,518,103,0.0040617527767320685,0.9850329488235682,Commercial,OMP
1,106,103,0.002711912677693847,0.9966960586543091,Residential,OMP
2,209,103,0.0048554198588406546,0.9945881780658477,Residential,OMP
3,312,103,0.009741990015588897,0.99090726122003,Residential,OMP
4,415,103,0.002444026574755433,0.9976392915484871,Residential,OMP
5,518,103,0.0013917262654528947,0.9982910054415147,Residential,OMP
1,106,103,0.017484603160980227,0.9603428505180859,Industrial,ElasticNet
2,209,103,0.018744995743819756,0.9515717392197791,Industrial,ElasticNet
3,312,103,0.08455881168428246,0.5606322310399243,Industrial,ElasticNet
4,415,103,0.02885190935768342,0.9061100759941753,Industrial,ElasticNet
5,518,103,0.0731531876627835,0.7856596954335334,Industrial,ElasticNet
1,106,103,0.09767421810051936,0.9481259331113101,Transportation,OMP
2,209,103,0.051236566095118154,0.9459858916933104,Transportation,OMP
3,312,103,0.07429381123858962,0.7923944773148193,Transportation,OMP
4,415,103,0.013278167422986169,0.8979385868471013,Transportation,OMP
5,518,103,0.05847633356681674,0.8221925564790675,Transportation,OMP
